Expenditures 2009,Department Description,Expenditures 2008,Appropriations 1995,Appropriations 1994,Appropriations 1997,Appropriations 1996,Appropriations 1993,Department,Appropriations 1999,Appropriations 1998,Expenditures 2005,Expenditures 2004,Expenditures 2007,Expenditures 2006,Expenditures 2001,Expenditures 2000,Expenditures 2003,Expenditures 2002,Department ID,Appropriations 2014,Appropriations 2017,Appropriations 2016,Appropriations 2011,Appropriations 2010,Appropriations 2013,Appropriations 2012,Fund,Control Officer,Expenditures 1995,Expenditures 1998,Expenditures 1999,Expenditures 1996,Expenditures 1997,Expenditures 1994,Link to Website,Expenditures 1993,Expenditures 2015,Appropriations 2015,Expenditures 2016,Expenditures 2014,Appropriations 2009,Expenditures 2012,Expenditures 2013,Expenditures 2010,Expenditures 2011,Appropriations 2002,Appropriations 2003,Appropriations 2000,Appropriations 2001,Appropriations 2006,Appropriations 2007,Appropriations 2004,Appropriations 2005,Appropriations 2008,Short Title
356897.39,"County Commissioners are elected officials who oversee county activities and work to ensure that citizens concerns are met, federal and state requirements are fulfilled and county operations run smoothly",337060,0,0,0,0,0,Fifteenth District -Office of the County Commissioner,0,0,0,0,0,0,0,0,0,0,95,358824,400000,393986,360000,356328,358824,358856,Corporate Fund,County Commissioners,0,0,0,0,0,0,https://www.cookcountyil.gov/person/timothy-o-schneider,0,282724.88,386544,239093.75,334299.3,372942,355168.02,342249.5,314479.91,336783.08,0,0,0,0,0,0,0,0,390955,District 15
327471.21,"County Commissioners are elected officials who oversee county activities and work to ensure that citizens concerns are met, federal and state requirements are fulfilled and county operations run smoothly",328079,0,0,0,0,0,Sixteenth District -Office of the County Commissioner,0,0,0,0,0,0,0,0,0,0,96,358835,400000,397547,360000,331353,358835,358873,Corporate Fund,County Commissioners,0,0,0,0,0,0,https://www.cookcountyil.gov/person/jeffrey-r-tobolski,0,339495.24,386364,360786.18,321114.72,324865,337185.21,341627.12,334358.67,330526.3,0,0,0,0,0,0,0,0,393730,District 16
377514.73,"County Commissioners are elected officials who oversee county activities and work to ensure that citizens concerns are met, federal and state requirements are fulfilled and county operations run smoothly",388805,0,0,0,0,0,Seventeenth District -Office of the County Commissioner,0,0,0,0,0,0,0,0,0,0,97,358846,400000,398993,360000,378946,358778,359673,Corporate Fund,County Commissioners,0,0,0,0,0,0,https://www.cookcountyil.gov/person/sean-m-morrison,0,375898.26,386068,392500.18,358204.26,376913,358726,357594.91,366735.79,348344.67,0,0,0,0,0,0,0,0,386590,District 17
8254412.42,"The Clerk's Office acts as Clerk of the County Board and as Election authority for suburban Cook County; the office also handles birth and death records and marriage licenses, and maintains business and notary records in the Vital Records unit; the Tax Services department calculates tax rates and maintains records on delinquent parcels; The Ethics unit keeps financial disclosures of area public officials and campaign contribution reports for candidates.",8631954.62,7377196,7278648,7595410,7028268,7280055,County Clerk,7926301,7664583,9011692,10605264,8399093,8722034.43,9616279,8884732.42,9958925.97,9711645,110,7628320,10561484,8250150,7922678,8623560,7371477,7642414,Corporate Fund,County Clerk,6925773,7297941.71,7810690,6719772,7299695.53,6872023,http://www.cookcountyclerk.com/Pages/default.aspx,6586541,7653035.71,7516624,8238007.79,7203648.92,8304732,7530761.25,7475939.9,8312993.16,7358764.5,9772527,10214954,8997793,9772745,9026518,8537603,10777548,9146276,8135000,Clerk
0,"In 2007, this division was moved in its entirety to 524",0,2827751,2739631,2838887,2569566,3215770,County Clerk - Election Division,3117673,2982119,2958849,3635393,0,2765277.43,3320734,3184910.61,3389845.35,3434261,111,0,0,0,0,0,0,0,Corporate Fund,County Clerk,2755858,2856190.89,3070674,2529048,2765409.07,2657193,,2648567,0,0,0,0,0,0,0,0,0,3499536,3523759,3402776,3566458,2790200,0,3645251,2994601,0,Clerk -Elections
0,,0,308491,288464,317381,300682,266800,Board of Election Commissioners,338711,337283,378043,413573,366443,380122.46,366336,361508.28,399231.55,375243,120,0,0,0,0,0,0,0,Corporate Fund,County Clerk,908574,333676.77,346080,309144,329307.79,306396,,274996,0,0,0,0,0,0,0,0,0,367634,387062,361963,372066,371451,364502,411765,371451,0,Board of Election
7850203.63,"The Office of the Recorder of Deeds records, stores and provides information that is accurate,legible, timely, and easily retrievable for public and private use. The office creates public records of land transactions as well as federal and State tax liens, articles of incorporation, and Uniform Commercial Code fillings.",8214180.24,9733022,9144083,9721027,9027812,8599827,Recorder of Deeds,10176880,9906954,9985057,12231340,8517376,9448107.01,10757607,10680417.93,11976719.83,11491054,130,5686120,6782074,5246777,6074135,7652140,5555564,5605917,Corporate Fund,Recorder of Deeds,8394278,9064147.08,9746966,8498456,9204678.99,8634323,https://www.cookcountyil.gov/agency/recorder-deeds-0,7707883,5335061.63,5484174,4925717.14,5068583.62,8054885,5614130.33,5183816.91,6884825.05,5835698.91,12175212,12626631,11123209,11918145,10149209,8690243,13026889,10647869,8100300,Recorder
3160479.86,"The Cook County Department of Building and Zoning provides reasonable rules and regulations governing the erection, construction, alteration, demolition, or relocation of all buildings and structures within designated single family, multi-family, commercial, industrial and public zoned districts of unincorporated Cook County.",2996057.86,2976260,2837143,3110969,2972958,3015846,Building and Zoning,3350852,3237686,3522266,3674708,3038835,3281163.37,3454114,3366923.88,3437035.52,3485490,160,3184227,4125420,3338790,3431649,3511123,3200340,3222774,Corporate Fund,President,2735074,2934759.27,3145928,2832399,3004617.88,2670854,https://www.cookcountyil.gov/agency/building-and-zoning-0,2744644,3304643.06,3389293,3471495.87,3175276.98,3088823,3269985.87,3245883.8,3331104.65,3260000.64,3768786,3918850,3556079,3688879,3506688,3180318,4293598,3658183,3311700,Building and Zoning
1659987.11,The Department of Environmental Control is responsible for protecting the health and welfare of the people of Cook County by improving and preserving the environment to foster the comfort and convenience of our citizens,1652052.56,1882897,1795254,1966023,1840517,1896368,Department of Environmental Control,1917294,1894697,1753646,1887527,1567780,1714641.27,2007487,1887280.78,1927288.62,2001668,161,1637725,2014574,1639172,1651285,1681587,1613155,1607776,Corporate Fund,President,1813333,1698673.73,1758038,1805154,1865504.51,1759343,https://www.cookcountyil.gov/agency/environmental-control,1724386,1386348.85,1586596,1496783.43,1640827.4,1619593,1447890.08,1562001.98,1544467.99,1425934.6,2129130,2017005,2044587,2137475,1871593,1471337,2118745,1776569,1561100,Environmental Control
486521.71,"The Zoning Board of Appeals is a governmental agency made up of the Chairman, four Board Members and a Secretary, each appointed by the President of the Cook County Board of Commissioners. Their primary duty is to aid the public in considering all rezoning appeals pertaining to land uses in the unincorporated areas.",557328.85,395731,373983,421000,391410,422537,Zoning Board of Appeals,462111,446853,528579,530136,529993,541136.24,513514,448181.41,519103.39,538893,170,423817,546881,461143,504248,466114,427413,418118,Corporate Fund,President,390277,363145.25,443539,398881,331694.23,381049,https://www.cookcountyil.gov/agency/environmental-control,384237,404306.1,424721,436398.49,379238.2,488541,417916.97,395296.33,450574.7,438063.96,566751,567277,482189,555973,539370,524873,601420,540267,559300,Board of Appeals
34484216.26,"The Department of Facilities Management maintains, operates, services, and repairs County properties and operating equipment. The Department also provides the personnel and supervision needed to remodel, rehabilitate, construct, and install the various facilities, offices, equipment, and devices needed to keep all properties functioning.",31785861.8,30892177,29212439,32817565,29735294,13316458,Department of Facilities Management,33438994,32482157,34706988,39173144,31722596,33613383.3,36339337,35217627.49,39817443.55,36839634,200,35198174,53552023,44246399,37610804,34538482,34782227,35188781,Public Safety Fund,President,29038917,31440182,34104259,28946556,33477729.57,25554995,https://www.cookcountyil.gov/agency/facilities-management-0,11962119,45061689.15,44578769,44061727.39,35383687.46,31261780,36757836.21,35044129.52,36494232.79,33913795.89,37493731,39975676,35729144,36698926,34262247,33138887,40833428,35094371,30032300,Facilities Management
1169113.97,"The Justice Advisory Council devises means to effect the improvement of administration of justice in and with relation to the County, and formulates all proper suggestions and recommendations concerning legislation and other measures designed to bring about such improvement.",1018322.1,892254,1343179,896233,831683,391514,Justice Advisory Council,944191,931404,784948,1411371,465542,611401.65,1597504,1630306.19,901115.38,1599111,205,422948,669673,551455,982596,1207187,438332,753675,Public Safety Fund,President,421046,800674,978208,425109,636680.28,377117,https://www.cookcountyil.gov/agency/justice-advisory-council-0,295335,464972.66,556096,568218.83,462341,1147745,635900.09,433058.78,943215.79,449744.7,1767522,1757365,1675243,1805479,1332730,1011375,1651532,1423125,1037000,Justice Advisory
2736860.63,"The Cook County Sheriff's Office is charged with three main tasks: Providing services and security to all county court facilities, Administering the Cook County Jail, Policing the unincorporated areas of Cook County",2296057.73,2991858,2928944,3233078,2950236,2857580,Office of the Sheriff,3569578,3418893,2618811,3223058,2194284,2602595.11,4521353,3680377.88,3891735.67,3916697,210,4821103,2426850,2265629,1367807,2297226,3144121,2127347,Public Safety Fund,Sheriff,2801299,3225685,3713107,2902239,3172267.94,2890738,http://www.cookcountysheriff.com/,2515371,4137460.81,4357154,2284844.5,5047837.28,2642590,2269159.56,3339849.04,2226907.83,1908873.32,3848265,3840038,4194428,4435672,2637952,2052638,2897411,2578362,2330300,Sheriff
20594436.98,This Department has merged with Administration and HR under department 214 in FY2015.,13461043.86,5600528,0,7582524,5523629,0,Department of Fiscal Administration and Support Services,8567368,8762727,9046112,8802767,10561415,10538790.27,8319692,8396243.85,5970924.57,9305912,211,0,0,0,13249507,23667199,14222245,13313622,Public Safety Fund,Sheriff,5036881,7427585,8177034,5226483,7244699.2,0,,0,0,0,0,0,20700564,13316272.39,14169750.39,22920674.09,17503143.81,9206093,9365889,8239398,8507077,10855536,11441463,8863168,8914285,15836300,Support Services
7234474.4,This Department shifted to department 573 under the DOC in FY2014.,5990341.16,0,0,0,0,0,Sheriff's Department for Women's Justice Services,0,0,4115707,4264984,4138461,4147006.93,3653416,3050483.51,4170924.1,3993613,212,0,0,0,7309621,8387988,8002420,5705512,Public Safety Fund,Sheriff,0,0,0,0,0,0,,0,0,0,0,0,7506730,6121321.04,8424457.35,8025940.28,7229575.02,4285357,4268513,3130849,3969966,4058583,4128662,4384988,4158476,6667100,Women's Justice
0,This department oversees all administrative and human resource funtions under the Sheriff.,0,0,0,0,0,0,Sheriff's Administration & Human Resources,0,0,0,0,0,0,0,0,0,0,214,13970050,28245473,9821744,0,0,0,0,Public Safety Fund,Sheriff,0,0,0,0,0,0,,0,11577612.74,12557868,8931563.27,14240871.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Administration & Human Resources
11274176.29,This function has been outsourced starting in FY12.,11481651.51,11224041,10878896,11520918,11061086,14325204,Custodian,12040796,11785283,12107039,15100282,10761671,11718111.68,13632451,12082611.78,14575591.03,13304992,215,0,0,0,0,11779165,0,0,Public Safety Fund,Sheriff,10704836,11137986.24,11908927,10572457,11047371.21,10824997,,13532500,0,0,0,0,11609040,0,0,10311818.49,124460.94,14036574,14321233,12104166,13820963,12153275,9223111,14973482,12035033,11366300,Custodian
0,"This department started in FY2015 to audit, inspect, evaluate and investigate activities to detect, deter and prevent corruption, fraud, waste, mismanagement and other forms of misconduct under the Sheriff.",0,0,0,0,0,0,"Sheriff's Office of Professional Review, Professional Integrity & Special Investigations",0,0,0,0,0,0,0,0,0,0,216,0,8734975,6124647,0,0,0,0,Public Safety Fund,Sheriff,0,0,0,0,0,0,,0,4105094.95,4439846,5822562.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Office of Professional Review
0,This department started in FY2014 to provide secure technological infrastructure and services that support the Sheriff's mission.,0,0,0,0,0,0,Sheriff's Information Technology,0,0,0,0,0,0,0,0,0,0,217,4311541,12270553,21109764,0,0,0,0,Public Safety Fund,Sheriff,0,0,0,0,0,0,,0,4840905.66,6351990,16925181.72,4080945.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Information Technology
88957944.67,"Responsible for three major divisions: Courts, Civil and Child Support Enforcement.",89416162.59,59726891,53744375,67614222,59379141,49699352,Court Services Division,71014338,71100083,91251547,96697183,88848914,96375549.44,82939821,79146471.38,96712247.66,87006629,230,85745311,100674978,87666583,80330529,93239486,85532064,81173997,Public Safety Fund,Sheriff,57286203,70951678.45,69868950,64440102,66775481.88,56345123,,48904939,83965226.16,84808693,84738347.4,85088817.07,89462921,87168042.18,88012377.27,87695281.84,84079589.91,93363603,96593943,79408519,84534010,95059054,87124023,98274188,91694012,89427900,Court Services
48866372.83,"Provides police services to the 100,000+ citizens of unincorporated Cook County.",50906023.52,34623245,34206952,38363458,36363171,29434157,Police Department,41381937,41147732,44774325,49207014,41012527,44944309.71,46726653,45360291.64,47733505.5,46717631,231,48029191,66707120,57059457,44655201,48265784,42724556,42955595,Public Safety Fund,Sheriff,33994901,41455624.23,41253460,35451348,36859734.68,35911583,,28023841,53595778.32,53767568,55380351.98,52514415.36,46923284,45839131.96,47049768.02,48343104.68,48956593,47537061,48837513,45688729,46895959,44979039,39654990,49272448,44991451,40485200,Police Department
6507846.65,This deparment is discontinued starting in FY13.,6214869.97,3802889,1928781,5763799,5707112,0,Impact Incarceration,6984432,6562715,7169841,7616660,6194240,6993794.79,7136358,6678965.73,7419054.49,7149586,235,0,0,0,6544239,6910807,0,6426193,Public Safety Fund,Sheriff,956046,5295594.79,6166682,1519530,3526672.26,636080,,0,0,0,0,0,6587667,7005773.89,0,6671209.3,6499254.11,7639598,7811634,7843045,7954689,7210984,6336668,8286925,7248000,6419200,Impact Incarceration
27541947.87,This department is discontinued starting in FY14.,30016056.13,26642789,22419692,24356437,22934234,25315281,Community Supervision and Intervention,26217688,25549518,31094273,33491041,30090532,33557164.24,29803516,27644844.24,31129640.35,28513182,236,0,0,0,26910122,28878102,21914652,16264647,Public Safety Fund,Sheriff,26234734,24858416.87,27001858,23676378,23103596.96,24090037,,14967280,0,0,0,0,26973347,15776046.88,23757277.18,28718724,28764741,29997911,30781961,27696784,29769441,34463837,27832887,32157521,32055619,29640600,Community Supervision
1785068.93,This department discontinued in FY12.,1358489.35,1196930,1162985,1335827,1293587,1136237,Jail Diversion and Crime Prevention,1519191,1419146,1688835,1960014,1088066,1563068.26,1737218,1600519.95,2012341.76,1871481,238,0,0,0,1570374,1836048,0,0,Public Safety Fund,Sheriff,1170650,1400219.26,1455103,1266219,1317652.84,1137921,,1122333,0,0,0,0,1810737,0,0,1622842.61,1528136.1,1833029,1944281,1600530,1791096,1650751,1257264,2009177,1700618,1645300,Jail Diversion
224197443.8,"The Cook County Department of Corrections is the largrest, single-site pre-trial detention facility in the United States and one of the largest detention facilities in the world.",208118553.1,137418157,120893068,147506949,142268829,140449935,Department of Corrections,154750237,151222509,173408503,190924608,198928643,183926257.7,167423662,164934563.1,180574528.6,171864936,239,303783283,401082781,327264131,226028868,244716331,266292793,236735994,Public Safety Fund,Sheriff,131833118,144524722.6,148607722,133599068,141576332.1,124928262,,131714416,338391361.9,325465357,337128569.8,340275031.9,219703725,265542082,287190898.2,229449039.6,237967861,178914519,186588999,165278712,174082741,186820995,197700053,194599884,177960595,214677800,Corrections
30818879.43,"Cermak Health Services is the daily provider of healthcare to the approximately 11,000 detainees at the Cook County Department of Corrections and the Department of Community Supervision and Intervention. This cost item has sometimes been accounted for in the Health Fund and sometimes in the Public Safety Fund. Sometimes it is appropriated in one fund and spent in the other fund in the same year.",28383743.72,0,0,0,0,0,Cermak Health Services of Cook County,0,0,39939183,42521439,38234514,39654965.4,0,0,0,0,240,46630843,69156798,65591831,41238218,41278455,40864509,40113122,Health Fund,Cook County Health and Hospital System,0,30120560.47,0,27118972,0,0,http://www.cookcountyhhs.org/locations/cook-county-jail-health-services/,0,54819143.46,56418755,60529338.53,41436924.82,35705117,38517570.37,40805767.87,32053056.31,33983506.68,0,0,0,0,40123314,36691886,44699955,40377036,31044100,Cermak Health
0,"Cermak Health Services is the daily provider of healthcare to the approximately 11,000 detainees at the Cook County Department of Corrections and the Department of Community Supervision and Intervention. This cost item has sometimes been accounted for in the Health Fund and sometimes in the Public Safety Fund. Sometimes it is appropriated in one fund and spent in the other fund in the same year.",0,29487008,24929547,28079196,27192456,24660239,Cermak Health Services of Cook County,33164648,30868090,0,0,0,0,37145642,35359696.97,41152865.24,38717276,240,0,0,0,0,0,0,0,Public Safety Fund,Cook County Health and Hospital System,26127935,0,33405574,0,28217076.34,24638619,http://www.cookcountyhhs.org/locations/cook-county-jail-health-services/,20852620,0,0,0,0,0,0,0,0,0,38226405,41846967,35235717,38067247,0,0,0,0,0,Cermak Health
5917658.69,Provides comprehensive range of health care services to residents of the Juvenile Temporary Detention Center.,4798597.75,0,0,0,0,0,Health Services - JTDC,0,0,0,0,0,0,0,0,0,0,241,3910387,3841425,3798200,3541587,3677600,3876605,3920113,Health Fund,Cook County Health and Hospital System,0,0,0,0,0,0,,0,3119132.71,3756473,3427299.6,3027248.6,6868974,3098507.4,3135294.75,2692665.94,2819502.12,0,0,0,0,0,0,0,0,5593800,Juvenile Health Services
893701.79,This Department conducts applicant testing of candidates for hiring and promotional purposes.,830138.16,699926,656904,684606,673275,589556,Sheriff's Merit Board,800444,792925,924330,977701,864843,802336.42,999285,818546.66,1110809.72,956716,249,1795358,2222460,3798200,1429911,1291924,1682497,1260219,Public Safety Fund,Sheriff,623852,634668.85,896813,643413,618622.07,627014,,518772,1682567.06,1772851,1678505.93,1753703.16,889316,1309053.01,1724550.08,1163045.99,1434140.51,997078,1137986,857612,1061030,927625,922229,1125997,950189,917600,Merit Board
98788450.21,"The Cook County State's Attorney's Office acts on behalf of the citizens of the State of Illinois in prosecuting crimes committed in Cook County, Illinois, the largest consolidated court district in the United States.",98608267.45,74750857,70022209,81889591,75988525,70167909,State's Attorney,88895908,87615640,95707184,108204574,91877586,95582099.33,99363716,95484018.57,104532291.8,102094909,250,93229590,123195674,103747610,88871814,101175133,90678192,87916142,Public Safety Fund,States Attorney,73963653,84554328.8,89228014,76766945,79669694.75,68327105,https://www.cookcountystatesattorney.org/,66471650,100316687.3,99232559,105618755.8,95565498.25,95305125,92532832,92383031.28,98975438.33,93172992.39,100414372,105507521,95530829,101095505,96181032,90919629,108681268,95626104,95781400,State's Attorney
7465704.09,The Medical Examiners Office investigates any human death that falls within many established categories that mainly define unexpected or untimely death.,6731074.29,6733772,6165100,6870673,6518664,6538918,Medical Examiner,6962943,7059636,7334103,7893005,6559774,7519090.91,7332966,7183000.31,7633348.99,7414958,259,10428262,13647380,10981754,7363052,8586460,8339093,6877063,Public Safety Fund,President,5776746,6671896.83,6670596,5846566,6200982.63,5831462,https://www.cookcountyil.gov/agency/medical-examiner,5379252,9949019.83,10477537,10716329.57,9549292.36,7521618,6729601.13,7975092.68,7106832.09,6582690.34,7989488,8575557,7630752,7990695,7587471,7689115,8610728,7848462,7731000,Medical Examiner
55440358.56,"The Public Defender is appointed by the judge when an individual is not able to afford an attorney. The Public Defender provides legal representation in the areas of criminal, misdemeanor, juvenile justice, child protection, paternity, appeals, post-conviction and traffic cases.",53983003.04,43941955,39838460,47281120,43872119,38598242,Public Defender,49089107,49969060,51956091,55054925,52267985,54107316.86,51306827,48532157.78,52160105.71,51434924,260,55275450,75887147,64940872,51787926,58051097,55588055,52370525,Public Safety Fund,President,40088866,43720368.44,45687520,40553176,43298993.75,36722435,https://www.cookcountyil.gov/agency/public-defender-1,34981776,60042265.39,61060441,65189504.5,56153492.93,51434216,55843607.87,54262670.64,56997211.75,56605031.79,57034226,60063736,53218101,56402974,52449095,52284633,62711611,52098400,51358900,Public Defender
0,"The Cook County Department of Homeland Security & Emergency Management  (DHSEM) is responsible for providing a County-wide emergency management system that will integrate all available first responders and their respective departments and resources, key elected and appointed officials and the private sector into a cohesive disaster management team.",0,0,0,0,0,0,Department of Homeland Security & Emergency Management,0,0,0,0,0,0,0,0,0,0,265,1359351,1715422,2066102,0,0,963906,878684,Public Safety Fund,President,0,0,0,0,0,0,http://www.cookcountyhomelandsecurity.org/,0,2510699.14,2096328,3061643.78,906531.94,0,549672.63,680798.66,0,0,0,0,0,0,0,0,0,0,0,Homeland Security
0,This Department coordinated a safe re-entry program for people leaving Jail. The Department was disbanded in 2006.,0,265160,0,367473,307134,0,Office of the Chief Coordinator,457043,341446,644835,708188,0,448199.32,455589,457180.42,445948.8,451048,270,0,0,0,0,0,0,0,Public Safety Fund,Chief Judge,65855,330206.57,422626,277183,349919.27,0,,0,0,0,0,0,0,0,0,0,0,558705,571221,527628,575216,722680,0,798896,763459,0,Chief Coordinator
43910977.67,This department administers a wide range of programs covering both standard and specialized probation supervision and pretrial and presentence services.,40332909.33,31448790,29321769,35997203,32449700,32019007,Adult Probation Department,38474688,37705645,37933508,42689267,38444128,39451873.13,41546401,39006183.78,43368729.78,41961853,280,38154317,49978728,43608245,34361500,44488458,34034051,35686378,Public Safety Fund,Chief Judge,30905827,35501139.68,36989568,31896641,35145152.67,29145335,,28543818,39902700.98,38488248,42102489.37,36983177.99,43672842,37472930.29,34691438.35,42013374.06,34536947.22,43719565,45674755,41269261,44460669,38389894,38644905,45807782,39213776,40183200,Adult Probation
14794190.02,Administers and supports the operations of the Circuit Court of Cook County and its non-juditial offices. Serves the judiciary and litigants who appear before the court.,14339155.41,10002233,9095775,16624122,14057160,7174231,Judiciary,16872555,16741718,14610860,18369605,13660314,16384054.72,17179089,17008262.88,18416584.27,15612725,300,10691946,14746170,13683358,12801005,14036399,9765924,9785886,Public Safety Fund,Chief Judge,10601093,17924604.87,16476983,15274742,16381705.49,9418493,http://www.cookcountycourt.org/,6953834,9706478.64,10305468,12923135.21,9339310.64,13890228,11525667.45,10471006.05,14757167.42,13277666.95,16938988,17618069,17687728,17626793,13623614,13576337,18663917,14503973,13930200,Judiciary
17441594.74,This Office represents abused and neglected children and the elderly.,17005179.73,10885088,9726360,12792384,11305062,6694834,Public Guardian,14342766,13467010,15521761,17572217,16007654,16020259.05,15794114,14916511.19,16874859.06,15935018,305,17468075,21864253,18253972,16705222,17850940,17598581,16822850,Public Safety Fund,Chief Judge,10470471,13094957.38,14237264,11199716,12379335.62,8909962,http://www.publicguardian.org/,6677212,17636263.48,17777309,17794541.28,17640191.04,17114287,17542471.08,17310206.39,17719822.02,17028376.59,16381147,17060606,15268955,16482556,16128205,15626831,18152159,15945128,17233300,Public Guardian
29616027.52,The Office of the Chief Judge administers the Circuit Court of Cook County,30682610.76,27976589,23761937,25897257,26792578,21839692,Office of the Chief Judge,34770890,32920206,36868243,42330632,30768932,35599006.57,36493127,35089837.59,39916932.08,37677350,310,30516519,43853940,39950515,29044926,34245828,30408267,25731751,Public Safety Fund,Chief Judge,24333032,30506432.15,33112936,25268406,24554436.41,21956221,http://www.cookcountycourt.org/,17566147,37527691.65,37389335,38770726.65,30672764.98,30319444,28757653.99,29698339.11,32085613.75,27096173.49,38863608,40631467,37632705,39568456,37275762,31856150,42577165,37406412,31592400,Chief Judge
2655733.61,This is a clinical department with the distiction of being the nation's first adult psychiatric court clinic.,2759298.93,2852600,1965880,3764428,3081650,2208541,Forensic Clinical Services,4019832,4028100,2592209,2884110,2623748,2770037.53,4140851,3473959.23,4463581.65,4076101,312,2579562,3149343,2889809,2783176,3023093,2476884,2405254,Public Safety Fund,Chief Judge,2873835,3630063.46,3397910,2964649,3232325.89,1954989,,1908026,2226303.18,2560690,2391223.82,2132796.24,2666512,2218343.12,2088181.02,2669108.23,2462677.15,5240119,5276258,5191173,5572567,2787291,2676723,3163492,2723363,2885300,Forensic
10377879.76,"This Department serves the court by providing post disposition correctional casework services to individuals found guilty of felony, misdemeanor, traffic and ordinance offenses.",10800121.59,10059560,9260111,11217631,10084639,9487138,Social  Service,11856108,11749310,8211722,14152914,10732889,10016511.42,13007111,12173550.01,13734201.01,13364658,313,10505600,11326316,9637904,7414338,10043275,10203678,9973360,Public Safety Fund,Chief Judge,9830993,10913599.84,11165760,9861749,10623568.16,9218916,,8983228,10266984.88,10377477,9465537.9,10461277.48,10339968,10654371.46,10315700.23,9628795.01,7384546.54,13595515,13969788,12867547,13765155,10532202,11304382,14703143,8438101,11077800,Social Service
31906678.39,"This Department provides guidance, structure and services needed by every child under the supervision of the Circuit Court of Cook County and the Juvenile Probation and Court Services Department.",32705312.93,24247634,20477653,36685630,29614632,20863085,Juvenile Probation and Court Services,35338115,37085113,39468585,42455098,31155568,33208534.09,50495235,45242974.94,40918439.1,47825844,326,31660029,47032765,37158149,30290380,35066020,30869909,29505056,Public Safety Fund,Chief Judge,31838654,31809791.49,39921831,41250595,39801179.34,22103569,,20807378,35502032.55,33499795,37484391.97,31928968.52,32386971,30048614.85,30613317.92,32657426,29251451.96,42159492,42034380,38299170,41444952,35147604,28551349,41107428,37452629,31888000,Juvenile Probation
0,Funded through 1997.,0,6050793,5756209,6160794,6178904,5811971,Jury Commissioners of Cook County,0,0,0,0,0,0,0,0,0,0,327,0,0,0,0,0,0,0,Public Safety Fund,Chief Judge,5693660,0,0,5634505,5439185.03,5443861,,5387825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Jury Commissioners
81787365.56,"The Clerk of the Circuit Court of Cook County is the keeper of the records for the Court. The Clerk is responsible for serving the court, the legal profession and the general public.",80794864.36,3111353,2809956,2548767,2620390,767230,Clerk of the Circuit Court - Office of the Clerk,2787143,2944408,18081779,19847442,14334857,15920846.81,2805366,2964521.35,19665194.67,15469863,335,74929106,103752464,82643016,74354030,80419118,73176171,71801126,Public Safety Fund,Clerk of the Circuit Court,2868864,2804560.79,2761830,2590768,2474687.87,2797647,http://www.cookcountyclerkofcourt.org/,670614,79715773.36,77896396,81047128.42,75371783.74,80789605,74587285.82,75229754.63,77211036.27,74260882.26,16366216,20653881,3076925,2738587,16410293,14067674,21388571,18269787,81491300,Clerk of the Court
0,Accounting merged with the Clerk of the Circuit Court's main department.,0,3265634,3127815,3637482,3217074,3201274,Clerk of the Circuit Court - Accounting,3723519,3596631,0,0,0,0,4171602,3620605.18,0,0,337,0,0,0,0,0,0,0,Public Safety Fund,Clerk of the Circuit Court,3103231,3336978.03,3665203,3145334,3457430.22,2913929,,2821054,0,0,0,0,0,0,0,0,0,0,0,3876421,4634178,0,0,0,0,0,Accounting
0,Account merged with the Clerk of the Circuit Court's main department.,0,2002795,1842338,2190371,2054277,1637830,Clerk of the Circuit Court - Human Resources,2281413,2294117,0,0,0,0,2809013,2784719.2,0,0,340,0,0,0,0,0,0,0,Public Safety Fund,Clerk of the Circuit Court,1893791,2088746.84,2302764,1937349,1957971.68,1866512,,1636755,0,0,0,0,0,0,0,0,0,0,0,2680321,2941126,0,0,0,0,0,Human Resources
0,Account merged with the Clerk of the Circuit Court's main department.,0,2958498,2412006,3090719,2912357,2249780,Clerk of the Circuit Court - Administrative Services,3965488,3419760,0,0,0,0,4260862,3675846.87,0,0,342,0,0,0,0,0,0,0,Public Safety Fund,Clerk of the Circuit Court,2845340,2988146.81,3634769,2615139,2521769.58,2408897,,1981051,0,0,0,0,0,0,0,0,0,0,0,4116569,4369638,0,0,0,0,0,Administrative Services
0,Account merged with the Clerk of the Circuit Court's main department.,0,8861884,8243044,9226662,8963250,8844256,Clerk of the Circuit Court - County Wide Operations,4924812,5049055,10282556,12448836,10222909,10939319.51,5997989,5501018.99,12074477.52,11039406,343,0,0,0,0,0,0,0,Public Safety Fund,Clerk of the Circuit Court,8821620,4987787.69,4903538,8968407,8763031.18,8113257,,8193241,0,0,0,0,0,0,0,0,0,11601891,12274667,5473248,6072125,10747828,10315744,12951965,10721281,0,Operations
0,Account merged with the Clerk of the Circuit Court's main department.,0,5845151,5179477,6748360,6498256,5084640,Clerk of the Circuit Court - Family Law,7716888,7334698,8118307,9638736,8035476,8435445.48,8864730,8281631.55,9392447.55,8801549,344,0,0,0,0,0,0,0,Public Safety Fund,Clerk of the Circuit Court,5953863,6982844.01,7750395,6254814,6340375.08,4991961,,4689865,0,0,0,0,0,0,0,0,0,9254195,9766987,8440558,9312201,8453023,8129110,10291990,8561956,0,Family Law
