"Fund","Department ID","Department","Short Title","Link to Website","Department Description","Control Officer","Appropriations 1993","Appropriations 1994","Appropriations 1995","Appropriations 1996","Appropriations 1997","Appropriations 1998","Appropriations 1999","Appropriations 2000","Appropriations 2001","Appropriations 2002","Appropriations 2003","Appropriations 2004","Appropriations 2005","Appropriations 2006","Appropriations 2007","Appropriations 2008","Appropriations 2009","Appropriations 2010","Appropriations 2011","Appropriations 2012","Appropriations 2013","Appropriations 2014","Appropriations 2015","Appropriations 2016","Appropriations 2017","Expenditures 1993","Expenditures 1994","Expenditures 1995","Expenditures 1996","Expenditures 1997","Expenditures 1998","Expenditures 1999","Expenditures 2000","Expenditures 2001","Expenditures 2002","Expenditures 2003","Expenditures 2004","Expenditures 2005","Expenditures 2006","Expenditures 2007","Expenditures 2008","Expenditures 2009","Expenditures 2010","Expenditures 2011","Expenditures 2012","Expenditures 2013","Expenditures 2014","Expenditures 2015","Expenditures 2016"
"Corporate Fund",110,"County Clerk","Clerk","http://www.cookcountyclerk.com/Pages/default.aspx","The Clerk's Office acts as Clerk of the County Board and as Election authority for suburban Cook County; the office also handles birth and death records and marriage licenses, and maintains business and notary records in the Vital Records unit; the Tax Services department calculates tax rates and maintains records on delinquent parcels; The Ethics unit keeps financial disclosures of area public officials and campaign contribution reports for candidates.","County Clerk",7280055,7278648,7377196,7028268,7595410,7664583,7926301,8997793,9772745,9772527,10214954,10777548,9146276,9026518,8537603,8135000,8304732,8623560,7922678,7642414,7371477,7628320,7516624,8250150,10561484,6586541,6872023,6925773,6719772,7299695.53,7297941.71,7810690,8884732.42,9616279,9711645,9958925.97,10605264,9011692,8722034.43,8399093,8631954.62,8254412.42,8312993.16,7358764.5,7530761.25,7475939.9,7203648.92,7653035.71,8238007.79
"Corporate Fund",111,"County Clerk - Election Division","Clerk -Elections",,"In 2007, this division was moved in its entirety to 524","County Clerk",3215770,2739631,2827751,2569566,2838887,2982119,3117673,3402776,3566458,3499536,3523759,3645251,2994601,2790200,0,0,0,0,0,,,,,,,2648567,2657193,2755858,2529048,2765409.07,2856190.89,3070674,3184910.61,3320734,3434261,3389845.35,3635393,2958849,2765277.43,0,0,0,0,,,,,,
"Corporate Fund",120,"Board of Election Commissioners","Board of Election",,,"County Clerk",266800,288464,308491,300682,317381,337283,338711,361963,372066,367634,387062,411765,371451,371451,364502,0,0,0,0,,,,,,,274996,306396,908574,309144,329307.79,333676.77,346080,361508.28,366336,375243,399231.55,413573,378043,380122.46,366443,0,0,0,,,,,,
"Corporate Fund",130,"Recorder of Deeds","Recorder","https://www.cookcountyil.gov/agency/recorder-deeds-0","The Office of the Recorder of Deeds records, stores and provides information that is accurate,legible, timely, and easily retrievable for public and private use. The office creates public records of land transactions as well as federal and State tax liens, articles of incorporation, and Uniform Commercial Code fillings.","Recorder of Deeds",8599827,9144083,9733022,9027812,9721027,9906954,10176880,11123209,11918145,12175212,12626631,13026889,10647869,10149209,8690243,8100300,8054885,7652140,6074135,5605917,5555564,5686120,5484174,5246777,6782074,7707883,8634323,8394278,8498456,9204678.99,9064147.08,9746966,10680417.93,10757607,11491054,11976719.83,12231340,9985057,9448107.01,8517376,8214180.24,7850203.63,6884825.05,5835698.91,5614130.33,5183816.91,5068583.62,5335061.63,4925717.14
"Corporate Fund",160,"Building and Zoning","Building and Zoning","https://www.cookcountyil.gov/agency/building-and-zoning-0","The Cook County Department of Building and Zoning provides reasonable rules and regulations governing the erection, construction, alteration, demolition, or relocation of all buildings and structures within designated single family, multi-family, commercial, industrial and public zoned districts of unincorporated Cook County.","President",3015846,2837143,2976260,2972958,3110969,3237686,3350852,3556079,3688879,3768786,3918850,4293598,3658183,3506688,3180318,3311700,3088823,3511123,3431649,3222774,3200340,3184227,3389293,3338790,4125420,2744644,2670854,2735074,2832399,3004617.88,2934759.27,3145928,3366923.88,3454114,3485490,3437035.52,3674708,3522266,3281163.37,3038835,2996057.86,3160479.86,3331104.65,3260000.64,3269985.87,3245883.8,3175276.98,3304643.06,3471495.87
"Corporate Fund",161,"Department of Environmental Control","Environmental Control","https://www.cookcountyil.gov/agency/environmental-control","The Department of Environmental Control is responsible for protecting the health and welfare of the people of Cook County by improving and preserving the environment to foster the comfort and convenience of our citizens","President",1896368,1795254,1882897,1840517,1966023,1894697,1917294,2044587,2137475,2129130,2017005,2118745,1776569,1871593,1471337,1561100,1619593,1681587,1651285,1607776,1613155,1637725,1586596,1639172,2014574,1724386,1759343,1813333,1805154,1865504.51,1698673.73,1758038,1887280.78,2007487,2001668,1927288.62,1887527,1753646,1714641.27,1567780,1652052.56,1659987.11,1544467.99,1425934.6,1447890.08,1562001.98,1640827.4,1386348.85,1496783.43
"Corporate Fund",170,"Zoning Board of Appeals","Board of Appeals","https://www.cookcountyil.gov/agency/environmental-control","The Zoning Board of Appeals is a governmental agency made up of the Chairman, four Board Members and a Secretary, each appointed by the President of the Cook County Board of Commissioners. Their primary duty is to aid the public in considering all rezoning appeals pertaining to land uses in the unincorporated areas.","President",422537,373983,395731,391410,421000,446853,462111,482189,555973,566751,567277,601420,540267,539370,524873,559300,488541,466114,504248,418118,427413,423817,424721,461143,546881,384237,381049,390277,398881,331694.23,363145.25,443539,448181.41,513514,538893,519103.39,530136,528579,541136.24,529993,557328.85,486521.71,450574.7,438063.96,417916.97,395296.33,379238.2,404306.1,436398.49
"Public Safety Fund",200,"Department of Facilities Management","Facilities Management","https://www.cookcountyil.gov/agency/facilities-management-0","The Department of Facilities Management maintains, operates, services, and repairs County properties and operating equipment. The Department also provides the personnel and supervision needed to remodel, rehabilitate, construct, and install the various facilities, offices, equipment, and devices needed to keep all properties functioning.","President",13316458,29212439,30892177,29735294,32817565,32482157,33438994,35729144,36698926,37493731,39975676,40833428,35094371,34262247,33138887,30032300,31261780,34538482,37610804,35188781,34782227,35198174,44578769,44246399,53552023,11962119,25554995,29038917,28946556,33477729.57,31440182,34104259,35217627.49,36339337,36839634,39817443.55,39173144,34706988,33613383.3,31722596,31785861.8,34484216.26,36494232.79,33913795.89,36757836.21,35044129.52,35383687.46,45061689.15,44061727.39
"Public Safety Fund",205,"Justice Advisory Council","Justice Advisory","https://www.cookcountyil.gov/agency/justice-advisory-council-0","The Justice Advisory Council devises means to effect the improvement of administration of justice in and with relation to the County, and formulates all proper suggestions and recommendations concerning legislation and other measures designed to bring about such improvement.","President",391514,1343179,892254,831683,896233,931404,944191,1675243,1805479,1767522,1757365,1651532,1423125,1332730,1011375,1037000,1147745,1207187,982596,753675,438332,422948,556096,551455,669673,295335,377117,421046,425109,636680.28,800674,978208,1630306.19,1597504,1599111,901115.38,1411371,784948,611401.65,465542,1018322.1,1169113.97,943215.79,449744.7,635900.09,433058.78,462341,464972.66,568218.83
"Public Safety Fund",210,"Office of the Sheriff","Sheriff","http://www.cookcountysheriff.com/","The Cook County Sheriff's Office is charged with three main tasks: Providing services and security to all county court facilities, Administering the Cook County Jail, Policing the unincorporated areas of Cook County","Sheriff",2857580,2928944,2991858,2950236,3233078,3418893,3569578,4194428,4435672,3848265,3840038,2897411,2578362,2637952,2052638,2330300,2642590,2297226,1367807,2127347,3144121,4821103,4357154,2265629,2426850,2515371,2890738,2801299,2902239,3172267.94,3225685,3713107,3680377.88,4521353,3916697,3891735.67,3223058,2618811,2602595.11,2194284,2296057.73,2736860.63,2226907.83,1908873.32,2269159.56,3339849.04,5047837.28,4137460.81,2284844.5
"Public Safety Fund",211,"Department of Fiscal Administration and Support Services","Support Services",,"This Department has merged with Administration and HR under department 214 in FY2015.","Sheriff",,,5600528,5523629,7582524,8762727,8567368,8239398,8507077,9206093,9365889,8863168,8914285,10855536,11441463,15836300,20700564,23667199,13249507,13313622,14222245,0,0,,,,,5036881,5226483,7244699.2,7427585,8177034,8396243.85,8319692,9305912,5970924.57,8802767,9046112,10538790.27,10561415,13461043.86,20594436.98,22920674.09,17503143.81,13316272.39,14169750.39,0,0,
"Public Safety Fund",212,"Sheriff's Department for Women's Justice Services","Women's Justice",,"This Department shifted to department 573 under the DOC in FY2014.","Sheriff",,,,,,,,3130849,3969966,4285357,4268513,4384988,4158476,4058583,4128662,6667100,7506730,8387988,7309621,5705512,8002420,0,0,,,,,,,,,0,3050483.51,3653416,3993613,4170924.1,4264984,4115707,4147006.93,4138461,5990341.16,7234474.4,8025940.28,7229575.02,6121321.04,8424457.35,0,0,
"Public Safety Fund",214,"Sheriff's Administration & Human Resources","Administration & Human Resources",,"This department oversees all administrative and human resource funtions under the Sheriff.","Sheriff",,,,,,,,,,,,,,,,,,,,,,13970050,12557868,9821744,28245473,,,,,,,,,,,,,,,,,,,,,,14240871.97,11577612.74,8931563.27
"Public Safety Fund",215,"Custodian","Custodian",,"This function has been outsourced starting in FY12.","Sheriff",14325204,10878896,11224041,11061086,11520918,11785283,12040796,12104166,13820963,14036574,14321233,14973482,12035033,12153275,9223111,11366300,11609040,11779165,0,,,,,,,13532500,10824997,10704836,10572457,11047371.21,11137986.24,11908927,12082611.78,13632451,13304992,14575591.03,15100282,12107039,11718111.68,10761671,11481651.51,11274176.29,10311818.49,124460.94,,,,,
"Public Safety Fund",216,"Sheriff's Office of Professional Review, Professional Integrity & Special Investigations","Office of Professional Review",,"This department started in FY2015 to audit, inspect, evaluate and investigate activities to detect, deter and prevent corruption, fraud, waste, mismanagement and other forms of misconduct under the Sheriff.","Sheriff",,,,,,,,,,,,,,,,,,,,,,,4439846,6124647,8734975,,,,,,,,,,,,,,,,,,,,,,,4105094.95,5822562.08
"Public Safety Fund",217,"Sheriff's Information Technology","Information Technology",,"This department started in FY2014 to provide secure technological infrastructure and services that support the Sheriff's mission.","Sheriff",,,,,,,,,,,,,,,,,,,,,,4311541,6351990,21109764,12270553,,,,,,,,,,,,,,,,,,,,,,4080945.46,4840905.66,16925181.72
"Public Safety Fund",230,"Court Services Division","Court Services",,"Responsible for three major divisions: Courts, Civil and Child Support Enforcement.","Sheriff",49699352,53744375,59726891,59379141,67614222,71100083,71014338,79408519,84534010,93363603,96593943,98274188,91694012,95059054,87124023,89427900,89462921,93239486,80330529,81173997,85532064,85745311,84808693,87666583,100674978,48904939,56345123,57286203,64440102,66775481.88,70951678.45,69868950,79146471.38,82939821,87006629,96712247.66,96697183,91251547,96375549.44,88848914,89416162.59,88957944.67,87695281.84,84079589.91,87168042.18,88012377.27,85088817.07,83965226.16,84738347.4
"Public Safety Fund",231,"Police Department","Police Department",,"Provides police services to the 100,000+ citizens of unincorporated Cook County.","Sheriff",29434157,34206952,34623245,36363171,38363458,41147732,41381937,45688729,46895959,47537061,48837513,49272448,44991451,44979039,39654990,40485200,46923284,48265784,44655201,42955595,42724556,48029191,53767568,57059457,66707120,28023841,35911583,33994901,35451348,36859734.68,41455624.23,41253460,45360291.64,46726653,46717631,47733505.5,49207014,44774325,44944309.71,41012527,50906023.52,48866372.83,48343104.68,48956593,45839131.96,47049768.02,52514415.36,53595778.32,55380351.98
"Public Safety Fund",235,"Impact Incarceration","Impact Incarceration",,"This deparment is discontinued starting in FY13.","Sheriff",,1928781,3802889,5707112,5763799,6562715,6984432,7843045,7954689,7639598,7811634,8286925,7248000,7210984,6336668,6419200,6587667,6910807,6544239,6426193,,,,,,,636080,956046,1519530,3526672.26,5295594.79,6166682,6678965.73,7136358,7149586,7419054.49,7616660,7169841,6993794.79,6194240,6214869.97,6507846.65,6671209.3,6499254.11,7005773.89,,,,
"Public Safety Fund",236,"Community Supervision and Intervention","Community Supervision",,"This department is discontinued starting in FY14.","Sheriff",25315281,22419692,26642789,22934234,24356437,25549518,26217688,27696784,29769441,29997911,30781961,32157521,32055619,34463837,27832887,29640600,26973347,28878102,26910122,16264647,21914652,,,,,14967280,24090037,26234734,23676378,23103596.96,24858416.87,27001858,27644844.24,29803516,28513182,31129640.35,33491041,31094273,33557164.24,30090532,30016056.13,27541947.87,28718724,28764741,15776046.88,23757277.18,,,
"Public Safety Fund",238,"Jail Diversion and Crime Prevention","Jail Diversion",,"This department discontinued in FY12.","Sheriff",1136237,1162985,1196930,1293587,1335827,1419146,1519191,1600530,1791096,1833029,1944281,2009177,1700618,1650751,1257264,1645300,1810737,1836048,1570374,,,,,,,1122333,1137921,1170650,1266219,1317652.84,1400219.26,1455103,1600519.95,1737218,1871481,2012341.76,1960014,1688835,1563068.26,1088066,1358489.35,1785068.93,1622842.61,1528136.1,,,,,
"Public Safety Fund",239,"Department of Corrections","Corrections",,"The Cook County Department of Corrections is the largrest, single-site pre-trial detention facility in the United States and one of the largest detention facilities in the world.","Sheriff",140449935,120893068,137418157,142268829,147506949,151222509,154750237,165278712,174082741,178914519,186588999,194599884,177960595,186820995,197700053,214677800,219703725,244716331,226028868,236735994,266292793,303783283,325465357,327264131,401082781,131714416,124928262,131833118,133599068,141576332.1,144524722.6,148607722,164934563.1,167423662,171864936,180574528.6,190924608,173408503,183926257.7,198928643,208118553.1,224197443.8,229449039.6,237967861,265542082,287190898.2,340275031.9,338391361.9,337128569.8
"Health Fund",240,"Cermak Health Services of Cook County","Cermak Health","http://www.cookcountyhhs.org/locations/cook-county-jail-health-services/","Cermak Health Services is the daily provider of healthcare to the approximately 11,000 detainees at the Cook County Department of Corrections and the Department of Community Supervision and Intervention. This cost item has sometimes been accounted for in the Health Fund and sometimes in the Public Safety Fund. Sometimes it is appropriated in one fund and spent in the other fund in the same year.","Cook County Health and Hospital System",,,,,,,,,,,,44699955,40377036,40123314,36691886,31044100,35705117,41278455,41238218,40113122,40864509,46630843,56418755,65591831,69156798,,,,27118972,,30120560.47,,,,,,42521439,39939183,39654965.4,38234514,28383743.72,30818879.43,32053056.31,33983506.68,38517570.37,40805767.87,41436924.82,54819143.46,60529338.53
"Public Safety Fund",240,"Cermak Health Services of Cook County","Cermak Health","http://www.cookcountyhhs.org/locations/cook-county-jail-health-services/","Cermak Health Services is the daily provider of healthcare to the approximately 11,000 detainees at the Cook County Department of Corrections and the Department of Community Supervision and Intervention. This cost item has sometimes been accounted for in the Health Fund and sometimes in the Public Safety Fund. Sometimes it is appropriated in one fund and spent in the other fund in the same year.","Cook County Health and Hospital System",24660239,24929547,29487008,27192456,28079196,30868090,33164648,35235717,38067247,38226405,41846967,,,,,,,,,,,,,,,20852620,24638619,26127935,,28217076.34,,33405574,35359696.97,37145642,38717276,41152865.24,,,,,,,,,,,,,
"Health Fund",241,"Health Services - JTDC","Juvenile Health Services",,"Provides comprehensive range of health care services to residents of the Juvenile Temporary Detention Center.","Cook County Health and Hospital System",,,,,,,,,,,,,,0,,5593800,6868974,3677600,3541587,3920113,3876605,3910387,3756473,3798200,3841425,,,,,,,,,,,,,,0,,4798597.75,5917658.69,2692665.94,2819502.12,3098507.4,3135294.75,3027248.6,3119132.71,3427299.6
"Public Safety Fund",249,"Sheriff's Merit Board","Merit Board",,"This Department conducts applicant testing of candidates for hiring and promotional purposes.","Sheriff",589556,656904,699926,673275,684606,792925,800444,857612,1061030,997078,1137986,1125997,950189,927625,922229,917600,889316,1291924,1429911,1260219,1682497,1795358,1772851,3798200,2222460,518772,627014,623852,643413,618622.07,634668.85,896813,818546.66,999285,956716,1110809.72,977701,924330,802336.42,864843,830138.16,893701.79,1163045.99,1434140.51,1309053.01,1724550.08,1753703.16,1682567.06,1678505.93
"Public Safety Fund",250,"State's Attorney","State's Attorney","https://www.cookcountystatesattorney.org/","The Cook County State's Attorney's Office acts on behalf of the citizens of the State of Illinois in prosecuting crimes committed in Cook County, Illinois, the largest consolidated court district in the United States.","States Attorney",70167909,70022209,74750857,75988525,81889591,87615640,88895908,95530829,101095505,100414372,105507521,108681268,95626104,96181032,90919629,95781400,95305125,101175133,88871814,87916142,90678192,93229590,99232559,103747610,123195674,66471650,68327105,73963653,76766945,79669694.75,84554328.8,89228014,95484018.57,99363716,102094909,104532291.8,108204574,95707184,95582099.33,91877586,98608267.45,98788450.21,98975438.33,93172992.39,92532832,92383031.28,95565498.25,100316687.3,105618755.8
"Public Safety Fund",259,"Medical Examiner","Medical Examiner","https://www.cookcountyil.gov/agency/medical-examiner","The Medical Examiners Office investigates any human death that falls within many established categories that mainly define unexpected or untimely death.","President",6538918,6165100,6733772,6518664,6870673,7059636,6962943,7630752,7990695,7989488,8575557,8610728,7848462,7587471,7689115,7731000,7521618,8586460,7363052,6877063,8339093,10428262,10477537,10981754,13647380,5379252,5831462,5776746,5846566,6200982.63,6671896.83,6670596,7183000.31,7332966,7414958,7633348.99,7893005,7334103,7519090.91,6559774,6731074.29,7465704.09,7106832.09,6582690.34,6729601.13,7975092.68,9549292.36,9949019.83,10716329.57
"Public Safety Fund",260,"Public Defender","Public Defender","https://www.cookcountyil.gov/agency/public-defender-1","The Public Defender is appointed by the judge when an individual is not able to afford an attorney. The Public Defender provides legal representation in the areas of criminal, misdemeanor, juvenile justice, child protection, paternity, appeals, post-conviction and traffic cases.","President",38598242,39838460,43941955,43872119,47281120,49969060,49089107,53218101,56402974,57034226,60063736,62711611,52098400,52449095,52284633,51358900,51434216,58051097,51787926,52370525,55588055,55275450,61060441,64940872,75887147,34981776,36722435,40088866,40553176,43298993.75,43720368.44,45687520,48532157.78,51306827,51434924,52160105.71,55054925,51956091,54107316.86,52267985,53983003.04,55440358.56,56997211.75,56605031.79,55843607.87,54262670.64,56153492.93,60042265.39,65189504.5
"Public Safety Fund",265,"Department of Homeland Security & Emergency Management","Homeland Security","http://www.cookcountyhomelandsecurity.org/","The Cook County Department of Homeland Security & Emergency Management  (DHSEM) is responsible for providing a County-wide emergency management system that will integrate all available first responders and their respective departments and resources, key elected and appointed officials and the private sector into a cohesive disaster management team.","President",,,,,,,,,,,,,,,,,,,,878684,963906,1359351,2096328,2066102,1715422,,,,,,,,,,,,,,,,,,,,549672.63,680798.66,906531.94,2510699.14,3061643.78
"Public Safety Fund",270,"Office of the Chief Coordinator","Chief Coordinator",,"This Department coordinated a safe re-entry program for people leaving Jail. The Department was disbanded in 2006.","Chief Judge",,,265160,307134,367473,341446,457043,527628,575216,558705,571221,798896,763459,722680,0,0,,,,,,,,,,,,65855,277183,349919.27,330206.57,422626,457180.42,455589,451048,445948.8,708188,644835,448199.32,,0,0,0,,,,,,
"Public Safety Fund",280,"Adult Probation Department","Adult Probation",,"This department administers a wide range of programs covering both standard and specialized probation supervision and pretrial and presentence services.","Chief Judge",32019007,29321769,31448790,32449700,35997203,37705645,38474688,41269261,44460669,43719565,45674755,45807782,39213776,38389894,38644905,40183200,43672842,44488458,34361500,35686378,34034051,38154317,38488248,43608245,49978728,28543818,29145335,30905827,31896641,35145152.67,35501139.68,36989568,39006183.78,41546401,41961853,43368729.78,42689267,37933508,39451873.13,38444128,40332909.33,43910977.67,42013374.06,34536947.22,37472930.29,34691438.35,36983177.99,39902700.98,42102489.37
"Public Safety Fund",300,"Judiciary","Judiciary","http://www.cookcountycourt.org/","Administers and supports the operations of the Circuit Court of Cook County and its non-juditial offices. Serves the judiciary and litigants who appear before the court.","Chief Judge",7174231,9095775,10002233,14057160,16624122,16741718,16872555,17687728,17626793,16938988,17618069,18663917,14503973,13623614,13576337,13930200,13890228,14036399,12801005,9785886,9765924,10691946,10305468,13683358,14746170,6953834,9418493,10601093,15274742,16381705.49,17924604.87,16476983,17008262.88,17179089,15612725,18416584.27,18369605,14610860,16384054.72,13660314,14339155.41,14794190.02,14757167.42,13277666.95,11525667.45,10471006.05,9339310.64,9706478.64,12923135.21
"Public Safety Fund",305,"Public Guardian","Public Guardian","http://www.publicguardian.org/","This Office represents abused and neglected children and the elderly.","Chief Judge",6694834,9726360,10885088,11305062,12792384,13467010,14342766,15268955,16482556,16381147,17060606,18152159,15945128,16128205,15626831,17233300,17114287,17850940,16705222,16822850,17598581,17468075,17777309,18253972,21864253,6677212,8909962,10470471,11199716,12379335.62,13094957.38,14237264,14916511.19,15794114,15935018,16874859.06,17572217,15521761,16020259.05,16007654,17005179.73,17441594.74,17719822.02,17028376.59,17542471.08,17310206.39,17640191.04,17636263.48,17794541.28
"Public Safety Fund",310,"Office of the Chief Judge","Chief Judge","http://www.cookcountycourt.org/","The Office of the Chief Judge administers the Circuit Court of Cook County","Chief Judge",21839692,23761937,27976589,26792578,25897257,32920206,34770890,37632705,39568456,38863608,40631467,42577165,37406412,37275762,31856150,31592400,30319444,34245828,29044926,25731751,30408267,30516519,37389335,39950515,43853940,17566147,21956221,24333032,25268406,24554436.41,30506432.15,33112936,35089837.59,36493127,37677350,39916932.08,42330632,36868243,35599006.57,30768932,30682610.76,29616027.52,32085613.75,27096173.49,28757653.99,29698339.11,30672764.98,37527691.65,38770726.65
"Public Safety Fund",312,"Forensic Clinical Services","Forensic",,"This is a clinical department with the distiction of being the nation's first adult psychiatric court clinic.","Chief Judge",2208541,1965880,2852600,3081650,3764428,4028100,4019832,5191173,5572567,5240119,5276258,3163492,2723363,2787291,2676723,2885300,2666512,3023093,2783176,2405254,2476884,2579562,2560690,2889809,3149343,1908026,1954989,2873835,2964649,3232325.89,3630063.46,3397910,3473959.23,4140851,4076101,4463581.65,2884110,2592209,2770037.53,2623748,2759298.93,2655733.61,2669108.23,2462677.15,2218343.12,2088181.02,2132796.24,2226303.18,2391223.82
"Public Safety Fund",313,"Social  Service","Social Service",,"This Department serves the court by providing post disposition correctional casework services to individuals found guilty of felony, misdemeanor, traffic and ordinance offenses.","Chief Judge",9487138,9260111,10059560,10084639,11217631,11749310,11856108,12867547,13765155,13595515,13969788,14703143,8438101,10532202,11304382,11077800,10339968,10043275,7414338,9973360,10203678,10505600,10377477,9637904,11326316,8983228,9218916,9830993,9861749,10623568.16,10913599.84,11165760,12173550.01,13007111,13364658,13734201.01,14152914,8211722,10016511.42,10732889,10800121.59,10377879.76,9628795.01,7384546.54,10654371.46,10315700.23,10461277.48,10266984.88,9465537.9
"Public Safety Fund",326,"Juvenile Probation and Court Services","Juvenile Probation",,"This Department provides guidance, structure and services needed by every child under the supervision of the Circuit Court of Cook County and the Juvenile Probation and Court Services Department.","Chief Judge",20863085,20477653,24247634,29614632,36685630,37085113,35338115,38299170,41444952,42159492,42034380,41107428,37452629,35147604,28551349,31888000,32386971,35066020,30290380,29505056,30869909,31660029,33499795,37158149,47032765,20807378,22103569,31838654,41250595,39801179.34,31809791.49,39921831,45242974.94,50495235,47825844,40918439.1,42455098,39468585,33208534.09,31155568,32705312.93,31906678.39,32657426,29251451.96,30048614.85,30613317.92,31928968.52,35502032.55,37484391.97
"Public Safety Fund",327,"Jury Commissioners of Cook County","Jury Commissioners",,"Funded through 1997.","Chief Judge",5811971,5756209,6050793,6178904,6160794,,,,,,,,,,,,,,,,,,,,,5387825,5443861,5693660,5634505,5439185.03,,,,,,,,,,,,,,,,,,,
"Public Safety Fund",335,"Clerk of the Circuit Court - Office of the Clerk","Clerk of the Court","http://www.cookcountyclerkofcourt.org/","The Clerk of the Circuit Court of Cook County is the keeper of the records for the Court. The Clerk is responsible for serving the court, the legal profession and the general public.","Clerk of the Circuit Court",767230,2809956,3111353,2620390,2548767,2944408,2787143,3076925,2738587,16366216,20653881,21388571,18269787,16410293,14067674,81491300,80789605,80419118,74354030,71801126,73176171,74929106,77896396,82643016,103752464,670614,2797647,2868864,2590768,2474687.87,2804560.79,2761830,2964521.35,2805366,15469863,19665194.67,19847442,18081779,15920846.81,14334857,80794864.36,81787365.56,77211036.27,74260882.26,74587285.82,75229754.63,75371783.74,79715773.36,81047128.42
"Public Safety Fund",337,"Clerk of the Circuit Court - Accounting","Accounting",,"Accounting merged with the Clerk of the Circuit Court's main department.","Clerk of the Circuit Court",3201274,3127815,3265634,3217074,3637482,3596631,3723519,3876421,4634178,0,0,0,0,0,0,0,0,0,0,,,,,,,2821054,2913929,3103231,3145334,3457430.22,3336978.03,3665203,3620605.18,4171602,0,0,0,0,0,,0,0,0,,,,,,
"Public Safety Fund",340,"Clerk of the Circuit Court - Human Resources","Human Resources",,"Account merged with the Clerk of the Circuit Court's main department.","Clerk of the Circuit Court",1637830,1842338,2002795,2054277,2190371,2294117,2281413,2680321,2941126,0,0,0,0,0,0,0,0,0,0,,,,,,,1636755,1866512,1893791,1937349,1957971.68,2088746.84,2302764,2784719.2,2809013,0,0,0,0,0,,0,0,0,,,,,,
"Public Safety Fund",342,"Clerk of the Circuit Court - Administrative Services","Administrative Services",,"Account merged with the Clerk of the Circuit Court's main department.","Clerk of the Circuit Court",2249780,2412006,2958498,2912357,3090719,3419760,3965488,4116569,4369638,0,0,0,0,0,0,0,0,0,0,,,,,,,1981051,2408897,2845340,2615139,2521769.58,2988146.81,3634769,3675846.87,4260862,0,0,0,0,0,,0,0,0,,,,,,
"Public Safety Fund",343,"Clerk of the Circuit Court - County Wide Operations","Operations",,"Account merged with the Clerk of the Circuit Court's main department.","Clerk of the Circuit Court",8844256,8243044,8861884,8963250,9226662,5049055,4924812,5473248,6072125,11601891,12274667,12951965,10721281,10747828,10315744,0,0,0,0,,,,,,,8193241,8113257,8821620,8968407,8763031.18,4987787.69,4903538,5501018.99,5997989,11039406,12074477.52,12448836,10282556,10939319.51,10222909,0,0,0,,,,,,
"Public Safety Fund",344,"Clerk of the Circuit Court - Family Law","Family Law",,"Account merged with the Clerk of the Circuit Court's main department.","Clerk of the Circuit Court",5084640,5179477,5845151,6498256,6748360,7334698,7716888,8440558,9312201,9254195,9766987,10291990,8561956,8453023,8129110,0,0,0,0,,,,,,,4689865,4991961,5953863,6254814,6340375.08,6982844.01,7750395,8281631.55,8864730,8801549,9392447.55,9638736,8118307,8435445.48,8035476,0,0,0,,,,,,
"Public Safety Fund",348,"Clerk of the Circuit Court - Criminal","Criminal",,"Account merged with the Clerk of the Circuit Court's main department.","Clerk of the Circuit Court",9744767,9272982,10104235,10255032,10047110,10708350,10930826,12041646,13013689,14407847,15359965,15683029,12800452,13233980,12666603,0,0,0,0,,,,,,,9188874,9208114,9800256,10115012,9608740.49,10161434.06,10976184,11724812.66,12054611,13207631,14432439.99,15243163,12552074,13306170.64,12793693,0,0,0,,,,,,
"Public Safety Fund",358,"Clerk of the Circuit Court - Office of the Clerk","Clerk of the Court",,"Account merged with the Clerk of the Circuit Court's main department.","Clerk of the Circuit Court",,,,,811707,884952,1008797,1130758,1161547,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,741420.07,837352.19,931145,1053397.92,1058006,0,0,0,0,0,,0,0,0,,,,,,
"Public Safety Fund",360,"Clerk of the Circuit Court - 1st Municipal","1st Municipal Court",,"Account merged with the Clerk of the Circuit Court's main department.","Clerk of the Circuit Court",6985887,6433645,6800214,6829197,7278190,12438234,12527253,14077464,15103957,19286695,20297214,21199199,17109216,17512191,16388732,0,0,0,0,,,,,,,6449180,6435896,6773728,6793468,7097120.45,12022128.29,12816934,13876166.49,14557643,18757584,19726994.15,20194857,16396851,17781087.29,16468720,0,0,0,,,,,,
"Public Safety Fund",366,"Clerk of the Circuit Court - Office of the Clerk","Clerk of the Court",,"Account merged with the Clerk of the Circuit Court's main department.","Clerk of the Circuit Court",7805244,7281394,7855191,7665398,7771004,8027473,8132501,9268397,10243884,0,0,0,0,0,0,0,0,0,0,,,,,,,7318316,7315036,7544706,7643016,7411195,7633278.67,8258298,9183220.92,9317468,0,0,0,0,0,,0,0,0,,,,,,
"Public Safety Fund",372,"Clerk of the Circuit Court - Suburban","Suburban Courts",,"Account merged with the Clerk of the Circuit Court's main department.","Clerk of the Circuit Court",2172734,2028774,2184678,2261192,2726746,2878764,2896133,3193861,3419489,18787360,19714432,20605408,16863604,16960880,15947706,0,0,0,0,,,,,,,2000290,1995372,2105291,2218716,2674388.77,2776927.66,2929143,3169011.76,3207821,17842348,18953941.84,19746378,16127402,17096826.81,16262414,0,0,0,,,,,,
